,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,EC_number,old_locus_tag
CDS_NC_018658.1_33175_33766_pos,NC_018658.1,O3K_RS00170,WP_000633668.1,uhpA,33175,33766,pos,,transcriptional regulator UhpA,,COORDINATES: similar to AA sequence:RefSeq:NP_312633.1,,O3K_00180
CDS_NC_018658.1_33765_35268_pos,NC_018658.1,O3K_RS00175,WP_001330988.1,uhpB,33765,35268,pos,,signal transduction histidine-protein kinase/phosphatase UhpB,,COORDINATES: similar to AA sequence:RefSeq:NP_418124.4,2.7.13.3,O3K_00185
CDS_NC_018658.1_35277_36597_pos,NC_018658.1,O3K_RS00180,WP_001358267.1,uhpC,35277,36597,pos,,MFS transporter family glucose-6-phosphate receptor UhpC,,COORDINATES: similar to AA sequence:RefSeq:NP_418123.2,,O3K_00190
CDS_NC_018658.1_36734_38126_pos,NC_018658.1,O3K_RS00185,WP_000879194.1,uhpT,36734,38126,pos,,hexose-6-phosphate:phosphate antiporter,,COORDINATES: similar to AA sequence:RefSeq:NP_312630.1,,O3K_00195
CDS_NC_018658.1_38170_39937_neg,NC_018658.1,O3K_RS00190,WP_001065695.1,adeD,38170,39937,neg,,adenine deaminase,,COORDINATES: similar to AA sequence:RefSeq:NP_418121.1,3.5.4.2,O3K_00200
CDS_NC_018658.1_40111_41446_pos,NC_018658.1,O3K_RS00195,WP_001349999.1,adeQ,40111,41446,pos,,adenine permease AdeQ,,COORDINATES: similar to AA sequence:RefSeq:NP_418120.2,,O3K_00205
CDS_NC_018658.1_41498_41951_pos,NC_018658.1,O3K_RS00200,WP_001295241.1,,41498,41951,pos,,DUF1198 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_418119.2,,O3K_00210
CDS_NC_018658.1_42161_43346_pos,NC_018658.1,O3K_RS00205,WP_014966158.1,nepI,42161,43346,pos,,purine ribonucleoside efflux pump NepI,,COORDINATES: similar to AA sequence:RefSeq:NP_418118.2,,O3K_00215
CDS_NC_018658.1_43386_43680_neg,NC_018658.1,O3K_RS00210,WP_000805509.1,,43386,43680,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:YP_588471.1,,O3K_00220
CDS_NC_018658.1_43901_44720_pos,NC_018658.1,O3K_RS00215,WP_000779426.1,nlpA,43901,44720,pos,,lipoprotein NlpA,,COORDINATES: similar to AA sequence:RefSeq:NP_418117.1,,O3K_00230
CDS_NC_018658.1_44723_45647_neg,NC_018658.1,O3K_RS00220,WP_000535960.1,,44723,45647,neg,,DMT family transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_418116.1,,O3K_00235
CDS_NC_018658.1_45757_46942_neg,NC_018658.1,O3K_RS00225,WP_001172875.1,,45757,46942,neg,,sugar efflux transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_418115.1,,O3K_00240
CDS_NC_018658.1_47734_48580_neg,NC_018658.1,O3K_RS00235,WP_001274561.1,,47734,48580,neg,,DUF4942 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001280511.1,,O3K_00250
CDS_NC_018658.1_48664_48862_neg,NC_018658.1,O3K_RS00240,WP_000772032.1,,48664,48862,neg,,DUF957 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309435.1,,O3K_00255
CDS_NC_018658.1_48881_49370_neg,NC_018658.1,O3K_RS00245,WP_000761715.1,,48881,49370,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_708774.1,,O3K_00260
CDS_NC_018658.1_49366_49744_neg,NC_018658.1,O3K_RS00250,WP_001094437.1,,49366,49744,neg,,toxin,,COORDINATES: similar to AA sequence:RefSeq:NP_708773.1,,O3K_00265
CDS_NC_018658.1_49790_50168_neg,NC_018658.1,O3K_RS00255,WP_001390338.1,,49790,50168,neg,,type IV toxin-antitoxin system YeeU family antitoxin,,COORDINATES: similar to AA sequence:RefSeq:NP_708772.1,,O3K_00270
CDS_NC_018658.1_50330_50552_neg,NC_018658.1,O3K_RS00260,WP_000692300.1,,50330,50552,neg,,DUF987 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309431.1,,O3K_00280
CDS_NC_018658.1_50614_51091_neg,NC_018658.1,O3K_RS00265,WP_001186773.1,,50614,51091,neg,,RadC family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310830.1,,O3K_00285
CDS_NC_018658.1_51106_51580_neg,NC_018658.1,O3K_RS00270,WP_001387789.1,,51106,51580,neg,,antirestriction protein,,COORDINATES: similar to AA sequence:RefSeq:NP_708769.2,,O3K_00290
CDS_NC_018658.1_51745_51919_neg,NC_018658.1,O3K_RS26560,WP_001183321.1,,51745,51919,neg,,hypothetical protein,,COORDINATES: ab initio prediction:GeneMarkS-2+,,O3K_00295
CDS_NC_018658.1_51918_52737_neg,NC_018658.1,O3K_RS00275,WP_001234716.1,,51918,52737,neg,,DUF945 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310828.1,,O3K_00300
CDS_NC_018658.1_52891_53050_neg,NC_018658.1,O3K_RS00280,WP_001323397.1,,52891,53050,neg,,DUF905 family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001550547.1,,O3K_00305
CDS_NC_018658.1_53120_55967_neg,NC_018658.1,O3K_RS00285,WP_000820574.1,ag43,53120,55967,neg,,autotransporter adhesin Ag43,,COORDINATES: similar to AA sequence:RefSeq:NP_309423.1,,O3K_00310
CDS_NC_018658.1_56339_57212_neg,NC_018658.1,O3K_RS00290,WP_001069760.1,,56339,57212,neg,,GTPase family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309422.1,,O3K_00315
CDS_NC_018658.1_57310_58183_neg,NC_018658.1,O3K_RS00295,WP_000241617.1,,57310,58183,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001767894.1,,O3K_00320
CDS_NC_018658.1_59754_60134_neg,NC_018658.1,O3K_RS00300,,,59754,60134,neg,True,ATP-binding protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001750026.1,,
CDS_NC_018658.1_60770_61373_neg,NC_018658.1,O3K_RS00305,WP_001387788.1,,60770,61373,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001546339.1,,O3K_00335
CDS_NC_018658.1_61467_61674_neg,NC_018658.1,O3K_RS00310,WP_000211310.1,,61467,61674,neg,,AlpA family transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:WP_001564245.1,,O3K_00340
CDS_NC_018658.1_62381_62593_pos,NC_018658.1,O3K_RS00315,,hha,62381,62593,pos,True,hemolysin expression modulator Hha,,COORDINATES: similar to AA sequence:RefSeq:WP_000453334.1,,O3K_00345
CDS_NC_018658.1_63336_63906_pos,NC_018658.1,O3K_RS00320,WP_000148641.1,,63336,63906,pos,,inovirus Gp2 family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000221568.1,,O3K_00355
CDS_NC_018658.1_64071_64455_pos,NC_018658.1,O3K_RS00325,WP_000271020.1,,64071,64455,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000270954.1,,O3K_00360
CDS_NC_018658.1_64451_64640_pos,NC_018658.1,O3K_RS00330,,,64451,64640,pos,True,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001013305.1,,O3K_00365
CDS_NC_018658.1_65025_65133_pos,NC_018658.1,O3K_RS00340,,,65025,65133,pos,True,EAL domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:YP_005229646.1,,
CDS_NC_018658.1_65207_65891_pos,NC_018658.1,O3K_RS00345,,,65207,65891,pos,True,helix-turn-helix domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:WP_013124600.1,,O3K_00370
CDS_NC_018658.1_65899_66760_pos,NC_018658.1,O3K_RS00350,WP_000493383.1,,65899,66760,pos,,EamA family transporter,,COORDINATES: similar to AA sequence:RefSeq:WP_000493383.1,,O3K_00375
CDS_NC_018658.1_66791_67991_neg,NC_018658.1,O3K_RS00355,WP_000804064.1,tet(A),66791,67991,neg,,tetracycline efflux MFS transporter Tet(A),,COORDINATES: similar to AA sequence:RefSeq:WP_000804064.1,,O3K_00380
CDS_NC_018658.1_68096_68747_pos,NC_018658.1,O3K_RS00360,WP_000164043.1,tetR(A),68096,68747,pos,,tetracycline resistance transcriptional repressor TetR(A),,COORDINATES: similar to AA sequence:RefSeq:WP_000164043.1,,O3K_00385
CDS_NC_018658.1_68778_69021_neg,NC_018658.1,O3K_RS00365,WP_000844627.1,,68778,69021,neg,,transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_000844627.1,,O3K_00390
CDS_NC_018658.1_69892_71005_pos,NC_018658.1,O3K_RS00370,WP_001300563.1,,69892,71005,pos,,IS4-like element IS421 family transposase,,COORDINATES: similar to AA sequence:RefSeq:NP_414557.1,,O3K_00405
CDS_NC_018658.1_71372_71807_neg,NC_018658.1,O3K_RS00375,WP_000429836.1,merR,71372,71807,neg,,Hg(II)-responsive transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:YP_005229638.1,,O3K_00410
CDS_NC_018658.1_71878_72229_pos,NC_018658.1,O3K_RS00380,WP_001294663.1,,71878,72229,pos,,mercuric transport protein MerT,,COORDINATES: similar to AA sequence:RefSeq:YP_005229639.1,,O3K_00415
CDS_NC_018658.1_72242_72518_pos,NC_018658.1,O3K_RS00385,WP_000732292.1,merP,72242,72518,pos,,mercury resistance system periplasmic binding protein MerP,,COORDINATES: similar to AA sequence:RefSeq:YP_005229640.1,,O3K_00420
CDS_NC_018658.1_72553_72976_pos,NC_018658.1,O3K_RS00390,WP_001340589.1,merC,72553,72976,pos,,organomercurial transporter MerC,,COORDINATES: similar to AA sequence:RefSeq:WP_016239395.1,,O3K_00425
CDS_NC_018658.1_73027_74722_pos,NC_018658.1,O3K_RS00395,WP_000105636.1,,73027,74722,pos,,mercury(II) reductase,,COORDINATES: similar to AA sequence:RefSeq:WP_016240396.1,1.16.1.1,O3K_00430
CDS_NC_018658.1_74739_75102_pos,NC_018658.1,O3K_RS00400,WP_001277456.1,merD,74739,75102,pos,,mercury resistance co-regulator MerD,,COORDINATES: similar to AA sequence:RefSeq:YP_005229644.1,,O3K_00435
CDS_NC_018658.1_75098_75335_pos,NC_018658.1,O3K_RS00405,WP_000993386.1,merE,75098,75335,pos,,broad-spectrum mercury transporter MerE,,COORDINATES: similar to AA sequence:RefSeq:YP_005229645.1,,O3K_00440
CDS_NC_018658.1_75370_76039_pos,NC_018658.1,O3K_RS00410,WP_001300294.1,,75370,76039,pos,,EAL domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:YP_005229646.1,,O3K_00445
CDS_NC_018658.1_76113_77364_pos,NC_018658.1,O3K_RS00415,,,76113,77364,pos,True,transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_013124600.1,,O3K_00450
CDS_NC_018658.1_77428_78133_pos,NC_018658.1,O3K_RS00420,WP_001067855.1,,77428,78133,pos,,IS6-like element IS26 family transposase,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,,O3K_00455
CDS_NC_018658.1_78193_79030_neg,NC_018658.1,O3K_RS00425,WP_000480968.1,,78193,79030,neg,,aminoglycoside O-phosphotransferase APH(6)-Id,,COORDINATES: similar to AA sequence:RefSeq:WP_000480972.1,,O3K_00460
CDS_NC_018658.1_79029_79833_neg,NC_018658.1,O3K_RS00430,WP_001082319.1,aph(3'')-Ib,79029,79833,neg,,aminoglycoside O-phosphotransferase APH(3'')-Ib,,COORDINATES: similar to AA sequence:RefSeq:WP_010890156.1,,O3K_00465
CDS_NC_018658.1_79893_80709_neg,NC_018658.1,O3K_RS00435,WP_001043265.1,sul2,79893,80709,neg,,sulfonamide-resistant dihydropteroate synthase Sul2,,COORDINATES: similar to AA sequence:RefSeq:WP_001043260.1,,O3K_00470
CDS_NC_018658.1_81016_81868_neg,NC_018658.1,O3K_RS00445,WP_000240536.1,,81016,81868,neg,,replication protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000240539.1,,O3K_00475
CDS_NC_018658.1_81854_82574_neg,NC_018658.1,O3K_RS00450,,,81854,82574,neg,True,AAA family ATPase,,COORDINATES: similar to AA sequence:RefSeq:WP_001517559.1,,O3K_00480
CDS_NC_018658.1_82623_83328_neg,NC_018658.1,O3K_RS00455,WP_001067855.1,,82623,83328,neg,,IS6-like element IS26 family transposase,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,,O3K_00485
CDS_NC_018658.1_83452_84157_pos,NC_018658.1,O3K_RS00460,WP_001067855.1,,83452,84157,pos,,IS6-like element IS26 family transposase,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,,O3K_00490
CDS_NC_018658.1_84190_84970_neg,NC_018658.1,O3K_RS00465,WP_000259029.1,,84190,84970,neg,,dihydropteroate synthase,,COORDINATES: similar to AA sequence:RefSeq:WP_000259031.1,2.5.1.15,O3K_00495
CDS_NC_018658.1_84963_85311_neg,NC_018658.1,O3K_RS00470,WP_000679427.1,,84963,85311,neg,,quaternary ammonium compound efflux SMR transporter QacE delta 1,,COORDINATES: similar to AA sequence:RefSeq:WP_000679427.1,,O3K_00500
CDS_NC_018658.1_85540_86014_neg,NC_018658.1,O3K_RS00475,WP_000703418.1,,85540,86014,neg,,trimethoprim-resistant dihydrofolate reductase DfrA7,,COORDINATES: similar to AA sequence:RefSeq:WP_001389366.1,,O3K_00505
CDS_NC_018658.1_86171_87185_pos,NC_018658.1,O3K_RS00480,WP_000845048.1,intI1,86171,87185,pos,,class 1 integron integrase IntI1,,COORDINATES: similar to AA sequence:RefSeq:YP_005221021.1,,O3K_00510
CDS_NC_018658.1_87387_87738_pos,NC_018658.1,O3K_RS00485,WP_000454193.1,,87387,87738,pos,,DUF3330 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000454193.1,,
CDS_NC_018658.1_87863_88424_pos,NC_018658.1,O3K_RS00490,WP_000147567.1,,87863,88424,pos,,recombinase family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000147566.1,,O3K_00525
CDS_NC_018658.1_88426_91393_pos,NC_018658.1,O3K_RS00495,WP_001138064.1,,88426,91393,pos,,Tn3-like element TnAs3 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_001138064.1,,O3K_00530
CDS_NC_018658.1_91459_91549_pos,NC_018658.1,O3K_RS00500,WP_000656307.1,,91459,91549,pos,,acetyltransferase,,COORDINATES: similar to AA sequence:RefSeq:WP_000656307.1,,O3K_00535
CDS_NC_018658.1_91582_92280_pos,NC_018658.1,O3K_RS00505,,,91582,92280,pos,True,IS1 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612230.1,,O3K_00545
CDS_NC_018658.1_92398_93583_neg,NC_018658.1,O3K_RS00510,WP_001218908.1,,92398,93583,neg,,tyrosine-type recombinase/integrase,,COORDINATES: similar to AA sequence:RefSeq:WP_001218899.1,,O3K_00550
CDS_NC_018658.1_94269_95652_pos,NC_018658.1,O3K_RS00520,WP_000834439.1,,94269,95652,pos,,glycoside-pentoside-hexuronide family transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_418114.4,,O3K_00555
CDS_NC_018658.1_95661_97980_pos,NC_018658.1,O3K_RS00525,WP_000702903.1,yicI,95661,97980,pos,,alpha-xylosidase,,COORDINATES: similar to AA sequence:RefSeq:NP_418113.1,3.2.1.177,O3K_00560
CDS_NC_018658.1_98032_99742_neg,NC_018658.1,O3K_RS00530,WP_001307467.1,,98032,99742,neg,,AsmA family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_418112.1,,O3K_00565
CDS_NC_018658.1_99862_101254_neg,NC_018658.1,O3K_RS00535,WP_001295238.1,xanP,99862,101254,neg,,xanthine/proton symporter XanP,,COORDINATES: similar to AA sequence:RefSeq:NP_312557.1,,O3K_00570
CDS_NC_018658.1_101533_102739_pos,NC_018658.1,O3K_RS00540,WP_000468836.1,gltS,101533,102739,pos,,sodium/glutamate symporter,,COORDINATES: similar to AA sequence:RefSeq:NP_312556.1,,O3K_00575
CDS_NC_018658.1_102904_104986_neg,NC_018658.1,O3K_RS00545,WP_000678443.1,recG,102904,104986,neg,,ATP-dependent DNA helicase RecG,,COORDINATES: similar to AA sequence:RefSeq:NP_709432.2,3.6.4.12,O3K_00580
CDS_NC_018658.1_104991_105681_neg,NC_018658.1,O3K_RS00550,WP_001070193.1,trmH,104991,105681,neg,,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,,COORDINATES: similar to AA sequence:RefSeq:NP_418108.1,,O3K_00585
CDS_NC_018658.1_105687_107796_neg,NC_018658.1,O3K_RS00555,WP_000280488.1,spoT,105687,107796,neg,,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase",,COORDINATES: similar to AA sequence:RefSeq:NP_312552.1,3.1.7.2,O3K_00590
CDS_NC_018658.1_107814_108090_neg,NC_018658.1,O3K_RS00560,WP_000135058.1,rpoZ,107814,108090,neg,,DNA-directed RNA polymerase subunit omega,,COORDINATES: similar to AA sequence:RefSeq:WP_013511051.1,2.7.7.6,O3K_00595
CDS_NC_018658.1_108144_108768_neg,NC_018658.1,O3K_RS00565,WP_001295237.1,gmk,108144,108768,neg,,guanylate kinase,,COORDINATES: similar to AA sequence:RefSeq:WP_000046969.1,2.7.4.8,O3K_00600
CDS_NC_018658.1_109025_110708_pos,NC_018658.1,O3K_RS00570,WP_000870052.1,ligB,109025,110708,pos,,NAD-dependent DNA ligase LigB,,COORDINATES: similar to AA sequence:RefSeq:NP_312549.2,6.5.1.2,O3K_00605
CDS_NC_018658.1_110704_111322_neg,NC_018658.1,O3K_RS00575,WP_000924289.1,,110704,111322,neg,,trimeric intracellular cation channel family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_312548.2,,O3K_00610
CDS_NC_018658.1_111613_112438_neg,NC_018658.1,O3K_RS00580,WP_001297374.1,dinD,111613,112438,neg,,DNA damage-inducible protein D,,COORDINATES: similar to AA sequence:RefSeq:NP_312547.2,,O3K_00615
CDS_NC_018658.1_112658_113522_neg,NC_018658.1,O3K_RS00585,WP_000621336.1,,112658,113522,neg,,YicC family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_005122606.1,,O3K_00620
CDS_NC_018658.1_113648_114365_pos,NC_018658.1,O3K_RS00590,WP_001247089.1,rph,113648,114365,pos,,ribonuclease PH,,COORDINATES: similar to AA sequence:RefSeq:WP_006803115.1,2.7.7.56,O3K_00625
CDS_NC_018658.1_114430_115072_pos,NC_018658.1,O3K_RS00595,WP_000806177.1,pyrE,114430,115072,pos,,orotate phosphoribosyltransferase,,COORDINATES: similar to AA sequence:RefSeq:NP_418099.1,2.4.2.10,O3K_00630
CDS_NC_018658.1_115108_115705_neg,NC_018658.1,O3K_RS00600,WP_000818601.1,slmA,115108,115705,neg,,nucleoid occlusion factor SlmA,,COORDINATES: similar to AA sequence:RefSeq:WP_000818604.1,,O3K_00635
CDS_NC_018658.1_115811_116270_neg,NC_018658.1,O3K_RS00605,WP_000976070.1,dut,115811,116270,neg,,dUTP diphosphatase,,COORDINATES: similar to AA sequence:RefSeq:WP_000976070.1,3.6.1.23,O3K_00640
CDS_NC_018658.1_116247_117468_neg,NC_018658.1,O3K_RS00610,WP_000050117.1,coaBC,116247,117468,neg,,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,,COORDINATES: similar to AA sequence:RefSeq:NP_418096.4,4.1.1.36,O3K_00645
CDS_NC_018658.1_117639_118308_pos,NC_018658.1,O3K_RS00615,WP_001298959.1,radC,117639,118308,pos,,DNA repair protein RadC,,COORDINATES: similar to AA sequence:RefSeq:NP_418095.4,,O3K_00650
CDS_NC_018658.1_118524_118761_pos,NC_018658.1,O3K_RS00620,WP_000091955.1,rpmB,118524,118761,pos,,50S ribosomal protein L28,,COORDINATES: similar to AA sequence:RefSeq:WP_008457442.1,,O3K_00655
CDS_NC_018658.1_118781_118949_pos,NC_018658.1,O3K_RS00625,WP_001051798.1,rpmG,118781,118949,pos,,50S ribosomal protein L33,,COORDINATES: similar to AA sequence:RefSeq:WP_010847629.1,,O3K_00660
