,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,EC_number,old_locus_tag,dup_id,count_dups,dup_id_pseudo_free,count_dups_pseudo_free,dup_id_mobile_free,count_dups_mobile_free
CDS_NC_013364.1_4945217_4946138_pos,NC_013364.1,ECO111_RS25570,WP_000783444.1,malM,4945217,4946138,pos,,maltose operon protein MalM,,COORDINATES: similar to AA sequence:RefSeq:NP_313047.1,,ECO111_4859,10,2,,,,
CDS_NC_013364.1_4946366_4947947_pos,NC_013364.1,ECO111_RS25580,,,4946366,4947947,pos,True,SopA family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000579104.1,,ECO111_4861,10,2,,,,
CDS_NC_013364.1_1953762_1954877_pos,NC_013364.1,ECO111_RS34265,,yneK,1953762,1954877,pos,True,putative protein YneK,,COORDINATES: similar to AA sequence:RefSeq:NP_416044.1,,,11,2,,,,
CDS_NC_013364.1_1952803_1953685_pos,NC_013364.1,ECO111_RS10100,WP_000366496.1,,1952803,1953685,pos,,LysR family transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:NP_310160.1,,ECO111_1922,11,2,,,,
CDS_NC_013364.1_4872548_4876772_pos,NC_013364.1,ECO111_RS25255,WP_000653940.1,rpoC,4872548,4876772,pos,,DNA-directed RNA polymerase subunit beta',,COORDINATES: similar to AA sequence:RefSeq:NP_312938.1,2.7.7.6,ECO111_4804,12,2,,,,
CDS_NC_013364.1_4876984_4877522_pos,NC_013364.1,ECO111_RS33335,,,4876984,4877522,pos,True,stationary phase growth adaptation protein,,COORDINATES: similar to AA sequence:RefSeq:NP_418416.1,,,12,2,,,,
CDS_NC_013364.1_3276006_3276595_pos,NC_013364.1,ECO111_RS17255,,eamB,3276006,3276595,pos,True,cysteine/O-acetylserine transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_417073.1,,,13,2,,,,
CDS_NC_013364.1_3275021_3275903_neg,NC_013364.1,ECO111_RS17250,WP_000365855.1,,3275021,3275903,neg,,LysR family transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:NP_417072.4,,ECO111_3303,13,2,,,,
CDS_NC_013364.1_2820582_2821657_pos,NC_013364.1,ECO111_RS15055,,,2820582,2821657,pos,True,sugar kinase,,COORDINATES: similar to AA sequence:RefSeq:NP_416665.1,,ECO111_2877,14,3,,,,
CDS_NC_013364.1_2821712_2822963_neg,NC_013364.1,ECO111_RS15060,,,2821712,2822963,neg,True,NupC/NupG family nucleoside CNT transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_416666.1,,,14,3,,,,
CDS_NC_013364.1_2819721_2820579_pos,NC_013364.1,ECO111_RS15045,WP_000873890.1,nfo,2819721,2820579,pos,,deoxyribonuclease IV,,COORDINATES: similar to AA sequence:RefSeq:NP_311078.1,3.1.21.2,ECO111_2876,14,3,,,,
CDS_NC_013365.1_114642_114981_neg,NC_013365.1,ECO111_RS28475,,,114642,114981,neg,True,recombinase family protein,,COORDINATES: similar to AA sequence:RefSeq:YP_005221001.1,,,15,2,,,,
CDS_NC_013365.1_113599_114460_neg,NC_013365.1,ECO111_RS28470,WP_000027057.1,,113599,114460,neg,,class A broad-spectrum beta-lactamase TEM-1,,COORDINATES: similar to AA sequence:RefSeq:WP_032489893.1,,ECO111_p1-129,15,2,,,,
CDS_NC_013365.1_110690_111542_neg,NC_013365.1,ECO111_RS28450,WP_000240536.1,,110690,111542,neg,,replication protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000240539.1,,ECO111_p1-125,16,2,,,,
CDS_NC_013365.1_111528_112248_neg,NC_013365.1,ECO111_RS28455,,,111528,112248,neg,True,AAA family ATPase,,COORDINATES: similar to AA sequence:RefSeq:WP_001517559.1,,ECO111_p1-126,16,2,,,,
CDS_NC_013366.1_72394_73216_neg,NC_013366.1,ECO111_RS30045,WP_001302199.1,,72394,73216,neg,,polysaccharide deacetylase family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001302199.1,,ECO111_p3-85,17,2,,,,
CDS_NC_013366.1_74687_74840_pos,NC_013366.1,ECO111_RS32820,,,74687,74840,pos,True,IS3 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612086.1,,ECO111_p3-88,17,2,,,,
CDS_NC_013366.1_41713_42535_pos,NC_013366.1,ECO111_RS29900,WP_001234469.1,,41713,42535,pos,,DUF945 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001234456.1,,ECO111_p3-55,18,2,,,,
CDS_NC_013366.1_42831_43341_neg,NC_013366.1,ECO111_RS29905,,,42831,43341,neg,True,transglycosylase SLT domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000759160.1,,,18,2,,,,
CDS_NC_013364.1_4430580_4431423_pos,NC_013364.1,ECO111_RS23105,WP_000072850.1,,4430580,4431423,pos,,HEAT repeat domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_418051.1,,ECO111_4414,19,2,,,,
CDS_NC_013364.1_4431450_4432409_pos,NC_013364.1,ECO111_RS33955,,,4431450,4432409,pos,True,RHS repeat protein,,COORDINATES: similar to AA sequence:RefSeq:NP_312497.1,,ECO111_4415,19,2,,,,
CDS_NC_013364.1_975032_976241_neg,NC_013364.1,ECO111_RS04805,,,975032,976241,neg,True,MFS transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_415366.1,,,20,2,,,,
CDS_NC_013364.1_974217_975033_neg,NC_013364.1,ECO111_RS04800,WP_001324713.1,ybjI,974217,975033,neg,,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,,COORDINATES: similar to AA sequence:RefSeq:NP_415365.4,3.1.3.104,ECO111_0912,20,2,,,,
CDS_NC_013364.1_1816751_1817552_pos,NC_013364.1,ECO111_RS09495,WP_001027942.1,,1816751,1817552,pos,,YdcF family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_415932.1,,ECO111_1803,21,2,,,,
CDS_NC_013364.1_1817748_1819051_pos,NC_013364.1,ECO111_RS09500,,aldA,1817748,1819051,pos,True,aldehyde dehydrogenase,,COORDINATES: similar to AA sequence:RefSeq:NP_310048.1,,ECO111_1804,21,2,,,,
CDS_NC_013364.1_4920669_4921476_neg,NC_013364.1,ECO111_RS25455,WP_001195423.1,,4920669,4921476,neg,,SDR family oxidoreductase,,COORDINATES: similar to AA sequence:RefSeq:NP_313030.1,,ECO111_4839,22,2,,,,
CDS_NC_013364.1_4921545_4922494_neg,NC_013364.1,ECO111_RS25460,,,4921545,4922494,neg,True,sugar-binding transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:NP_709812.2,,ECO111_4840,22,2,,,,
CDS_NC_013364.1_1487123_1490525_pos,NC_013364.1,ECO111_RS07765,WP_012817873.1,espN,1487123,1490525,pos,,type III secretion system effector EspN,,COORDINATES: similar to AA sequence:RefSeq:NP_309588.1,,ECO111_1469,23,4,,,,
CDS_NC_013364.1_1490901_1491054_neg,NC_013364.1,ECO111_RS34240,,,1490901,1491054,neg,True,type III secretion protein GogB,,COORDINATES: similar to AA sequence:RefSeq:NP_309595.1,,,23,4,,,,
CDS_NC_013364.1_1491306_1491420_pos,NC_013364.1,ECO111_RS31000,,,1491306,1491420,pos,True,non-LEE encoded effector protein NleB,,COORDINATES: similar to AA sequence:RefSeq:NP_308873.1,,,23,4,,,,
CDS_NC_013364.1_1491053_1491272_pos,NC_013364.1,ECO111_RS34245,,,1491053,1491272,pos,True,transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_025243830.1,,,23,4,,,,
CDS_NC_013364.1_151197_152472_neg,NC_013364.1,ECO111_RS00700,,,151197,152472,neg,True,fimbrial-like adhesin,,COORDINATES: similar to AA sequence:RefSeq:WP_001462196.1,,,24,2,,,,
CDS_NC_013364.1_150290_151085_neg,NC_013364.1,ECO111_RS00695,WP_000805445.1,panB,150290,151085,neg,,3-methyl-2-oxobutanoate hydroxymethyltransferase,,COORDINATES: similar to AA sequence:RefSeq:WP_000805487.1,2.1.2.11,ECO111_0135,24,2,,,,
CDS_NC_013364.1_1348841_1349684_pos,NC_013364.1,ECO111_RS06955,WP_001280481.1,,1348841,1349684,pos,,DUF4942 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309436.1,,ECO111_1309,25,2,1.0,2.0,1.0,2.0
CDS_NC_013364.1_3758515_3759358_pos,NC_013364.1,ECO111_RS19765,WP_001280498.1,,3758515,3759358,pos,,DUF4942 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_708776.1,,ECO111_3781,25,2,1.0,2.0,1.0,2.0
CDS_NC_013364.1_5248866_5249187_pos,NC_013364.1,ECO111_RS32460,,,5248866,5249187,pos,True,IS3 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_012477168.1,,,26,2,,,,
CDS_NC_013364.1_5248009_5248783_neg,NC_013364.1,ECO111_RS27160,WP_000157137.1,,5248009,5248783,neg,,type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001695295.1,,ECO111_5152,26,2,,,,
CDS_NC_013365.1_68722_69478_pos,NC_013365.1,ECO111_RS28185,WP_000807689.1,repE,68722,69478,pos,,replication initiation protein RepE,,COORDINATES: similar to AA sequence:RefSeq:WP_000807689.1,,ECO111_p1-071,27,2,,,,
CDS_NC_013365.1_69855_70553_pos,NC_013365.1,ECO111_RS28195,,,69855,70553,pos,True,IS1 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612230.1,,ECO111_p1-073,27,2,,,,
CDS_NC_013370.1_63328_64156_pos,NC_013370.1,ECO111_RS29310,WP_000751806.1,,63328,64156,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_707752.1,,ECO111_p2-070,28,2,2.0,2.0,2.0,2.0
CDS_NC_013364.1_2437443_2438271_pos,NC_013364.1,ECO111_RS12815,WP_000720006.1,,2437443,2438271,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_707752.1,,ECO111_2449,28,2,2.0,2.0,2.0,2.0
CDS_NC_013364.1_427993_428761_pos,NC_013364.1,ECO111_RS02050,WP_000939373.1,tauB,427993,428761,pos,,taurine ABC transporter ATP-binding subunit,,COORDINATES: similar to AA sequence:RefSeq:NP_308447.1,,ECO111_0399,29,2,,,,
CDS_NC_013364.1_428757_429585_pos,NC_013364.1,ECO111_RS02055,,tauC,428757,429585,pos,True,taurine ABC transporter permease TauC,,COORDINATES: similar to AA sequence:RefSeq:NP_706205.1,,ECO111_0400,29,2,,,,
CDS_NC_013364.1_2171513_2173108_pos,NC_013364.1,ECO111_RS11320,,,2171513,2173108,pos,True,acyl CoA:acetate/3-ketoacid CoA transferase,,COORDINATES: similar to AA sequence:RefSeq:NP_310428.1,,,30,2,,,,
CDS_NC_013364.1_2170611_2171370_pos,NC_013364.1,ECO111_RS11315,WP_000860176.1,aroD,2170611,2171370,pos,,type I 3-dehydroquinate dehydratase,,COORDINATES: similar to AA sequence:RefSeq:NP_310427.1,4.2.1.10,ECO111_2162,30,2,,,,
CDS_NC_013364.1_532077_532200_neg,NC_013364.1,ECO111_RS32870,,,532077,532200,neg,True,IS110 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_012904434.1,,,31,2,,,,
CDS_NC_013364.1_528476_531839_pos,NC_013364.1,ECO111_RS02560,WP_000177715.1,mscK,528476,531839,pos,,mechanosensitive channel MscK,,COORDINATES: similar to AA sequence:RefSeq:NP_706358.1,,ECO111_0497,31,2,,,,
CDS_NC_013364.1_238997_239736_pos,NC_013364.1,ECO111_RS01120,,,238997,239736,pos,True,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_414752.1,,ECO111_0213,32,2,,,,
CDS_NC_013364.1_237726_238458_pos,NC_013364.1,ECO111_RS01110,WP_001297205.1,dnaQ,237726,238458,pos,,DNA polymerase III subunit epsilon,,COORDINATES: similar to AA sequence:RefSeq:NP_706156.2,2.7.7.7,ECO111_0212,32,2,,,,
CDS_NC_013364.1_1476612_1477350_pos,NC_013364.1,ECO111_RS07730,WP_000967279.1,,1476612,1477350,pos,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309585.1,,ECO111_1462,33,9,3.0,9.0,,
CDS_NC_013364.1_1762962_1763706_pos,NC_013364.1,ECO111_RS09270,WP_000194763.1,,1762962,1763706,pos,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310013.1,,ECO111_1758,33,9,3.0,9.0,,
CDS_NC_013364.1_2018738_2019482_neg,NC_013364.1,ECO111_RS10515,WP_001369422.1,,2018738,2019482,neg,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310264.2,,ECO111_2005,33,9,3.0,9.0,,
CDS_NC_013364.1_2544126_2544870_neg,NC_013364.1,ECO111_RS13415,WP_001369128.1,,2544126,2544870,neg,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310973.1,,ECO111_2560,33,9,3.0,9.0,,
CDS_NC_013364.1_2401673_2402417_neg,NC_013364.1,ECO111_RS12555,WP_000194763.1,,2401673,2402417,neg,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310013.1,,ECO111_2399,33,9,3.0,9.0,,
CDS_NC_013364.1_1636849_1637593_pos,NC_013364.1,ECO111_RS08585,WP_001344666.1,,1636849,1637593,pos,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310973.1,,ECO111_1626,33,9,3.0,9.0,,
CDS_NC_013364.1_874691_875435_pos,NC_013364.1,ECO111_RS04330,WP_000194798.1,,874691,875435,pos,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310973.1,,ECO111_0821,33,9,3.0,9.0,,
CDS_NC_013364.1_4988807_4989551_pos,NC_013364.1,ECO111_RS25865,WP_000194763.1,,4988807,4989551,pos,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310013.1,,ECO111_4910,33,9,3.0,9.0,,
CDS_NC_013364.1_3324043_3324787_neg,NC_013364.1,ECO111_RS17500,WP_001369128.1,,3324043,3324787,neg,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310973.1,,ECO111_3347,33,9,3.0,9.0,,
CDS_NC_013364.1_5274450_5275176_pos,NC_013364.1,ECO111_RS27265,WP_000066557.1,fimC,5274450,5275176,pos,,type 1 fimbria chaperone FimC,,COORDINATES: similar to AA sequence:RefSeq:NP_313302.3,,ECO111_5170,34,2,,,,
CDS_NC_013364.1_5275242_5277759_pos,NC_013364.1,ECO111_RS27270,,fimD,5275242,5277759,pos,True,fimbrial usher FimD,,COORDINATES: similar to AA sequence:RefSeq:NP_313303.1,,ECO111_5171,34,2,,,,
CDS_NC_013364.1_217480_218304_neg,NC_013364.1,ECO111_RS01000,,,217480,218304,neg,True,YaeF family permuted papain-like enzyme,,COORDINATES: similar to AA sequence:RefSeq:NP_414735.4,,ECO111_0196,35,2,,,,
CDS_NC_013364.1_216614_217325_pos,NC_013364.1,ECO111_RS00990,WP_000239192.1,nlpE,216614,217325,pos,,envelope stress response activation lipoprotein NlpE,,COORDINATES: similar to AA sequence:RefSeq:NP_706138.1,,ECO111_0194,35,2,,,,
CDS_NC_013364.1_1757224_1757941_pos,NC_013364.1,ECO111_RS09240,WP_001275445.1,,1757224,1757941,pos,,immunoglobulin domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310007.1,,ECO111_1752,36,5,4.0,5.0,3.0,3.0
CDS_NC_013364.1_2407438_2408155_neg,NC_013364.1,ECO111_RS12585,WP_001275508.1,,2407438,2408155,neg,,tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309576.1,,ECO111_2405,36,5,4.0,5.0,,
CDS_NC_013364.1_1469219_1469936_pos,NC_013364.1,ECO111_RS07685,WP_001275472.1,,1469219,1469936,pos,,tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310007.1,,ECO111_1452,36,5,4.0,5.0,,
CDS_NC_013364.1_2026326_2027043_neg,NC_013364.1,ECO111_RS10560,WP_001275467.1,,2026326,2027043,neg,,immunoglobulin domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309576.1,,ECO111_2013,36,5,4.0,5.0,3.0,3.0
CDS_NC_013364.1_4983069_4983786_pos,NC_013364.1,ECO111_RS25835,WP_001275461.1,,4983069,4983786,pos,,immunoglobulin domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310007.1,,ECO111_4904,36,5,4.0,5.0,3.0,3.0
CDS_NC_013365.1_107102_107807_pos,NC_013365.1,ECO111_RS28430,WP_001067855.1,,107102,107807,pos,,IS6-like element IS26 family transposase,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,,ECO111_p1-121,37,6,5.0,4.0,,
CDS_NC_013365.1_112297_113002_neg,NC_013365.1,ECO111_RS28460,WP_001067855.1,,112297,113002,neg,,IS6-like element IS26 family transposase,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,,ECO111_p1-127,37,6,5.0,4.0,,
CDS_NC_013365.1_115044_115749_pos,NC_013365.1,ECO111_RS28480,WP_001067855.1,,115044,115749,pos,,IS6-like element IS26 family transposase,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,,ECO111_p1-130,37,6,5.0,4.0,,
CDS_NC_013365.1_105242_105947_pos,NC_013365.1,ECO111_RS28420,WP_001067855.1,,105242,105947,pos,,IS6-like element IS26 family transposase,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,,ECO111_p1-119,37,6,5.0,4.0,,
CDS_NC_013365.1_113171_113453_neg,NC_013365.1,ECO111_RS28465,,,113171,113453,neg,True,transposase zinc-binding domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001120888.1,,ECO111_p1-128,37,6,,,,
CDS_NC_013365.1_115791_118470_pos,NC_013365.1,ECO111_RS28485,,,115791,118470,pos,True,Tn3-like element TnAs3 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_001138064.1,,ECO111_p1-131,37,6,,,,
CDS_NC_013364.1_2653125_2653348_pos,NC_013364.1,ECO111_RS14220,,,2653125,2653348,pos,True,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:YP_009502599.1,,,38,2,,,,
CDS_NC_013364.1_2652284_2652980_pos,NC_013364.1,ECO111_RS14215,WP_016242500.1,,2652284,2652980,pos,,LexA family transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:WP_014532159.1,,ECO111_2713,38,2,,,,
CDS_NC_013364.1_869460_870213_pos,NC_013364.1,ECO111_RS04300,WP_001143011.1,,869460,870213,pos,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310196.1,,ECO111_0814,39,5,6.0,4.0,,
CDS_NC_013364.1_2549368_2550121_neg,NC_013364.1,ECO111_RS13445,WP_000235098.1,,2549368,2550121,neg,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310196.1,,ECO111_2566,39,5,6.0,4.0,,
CDS_NC_013364.1_3330036_3330327_neg,NC_013364.1,ECO111_RS17535,,,3330036,3330327,neg,True,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310980.1,,,39,5,,,,
CDS_NC_013364.1_1631603_1632356_pos,NC_013364.1,ECO111_RS08555,WP_000235090.1,,1631603,1632356,pos,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310196.1,,ECO111_1619,39,5,6.0,4.0,,
CDS_NC_013364.1_3329276_3330029_neg,NC_013364.1,ECO111_RS17530,WP_000235090.1,,3329276,3330029,neg,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310196.1,,ECO111_3353,39,5,6.0,4.0,,
CDS_NC_013365.1_32309_35486_pos,NC_013365.1,ECO111_RS27995,WP_000682729.1,trhN,32309,35486,pos,,IncHI-type conjugal transfer protein TrhN,,COORDINATES: similar to AA sequence:RefSeq:WP_000682729.1,,ECO111_p1-031,40,2,,,,
CDS_NC_013365.1_35821_36409_pos,NC_013365.1,ECO111_RS28000,,,35821,36409,pos,True,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000211822.1,,ECO111_p1-032,40,2,,,,
CDS_NC_013364.1_4415055_4415157_neg,NC_013364.1,ECO111_RS34455,,,4415055,4415157,neg,True,AraC family transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:NP_312484.1,,,41,2,,,,
CDS_NC_013364.1_4414328_4415024_pos,NC_013364.1,ECO111_RS23045,WP_000893162.1,araD,4414328,4415024,pos,,L-ribulose-5-phosphate 4-epimerase,,COORDINATES: similar to AA sequence:RefSeq:NP_418040.1,5.1.3.4,ECO111_4403,41,2,,,,
CDS_NC_013364.1_2594933_2596578_neg,NC_013364.1,ECO111_RS13800,,yeeO,2594933,2596578,neg,True,toxic metabolite efflux MATE transporter YeeO,,COORDINATES: similar to AA sequence:RefSeq:NP_416491.3,,ECO111_2633,42,2,,,,
CDS_NC_013364.1_2593589_2594306_pos,NC_013364.1,ECO111_RS13790,WP_000532913.1,,2593589,2594306,pos,,YebC/PmpR family DNA-binding transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:NP_310807.1,,ECO111_2631,42,2,,,,
CDS_NC_013364.1_2019487_2020186_neg,NC_013364.1,ECO111_RS10520,WP_001369426.1,,2019487,2020186,neg,,phage minor tail protein L,,COORDINATES: similar to AA sequence:RefSeq:NP_310191.1,,ECO111_2006,43,7,7.0,7.0,,
CDS_NC_013364.1_3324792_3325491_neg,NC_013364.1,ECO111_RS17505,WP_001152113.1,,3324792,3325491,neg,,phage minor tail protein L,,COORDINATES: similar to AA sequence:RefSeq:NP_310191.1,,ECO111_3348,43,7,7.0,7.0,,
CDS_NC_013364.1_2544875_2545574_neg,NC_013364.1,ECO111_RS13420,WP_001152113.1,,2544875,2545574,neg,,phage minor tail protein L,,COORDINATES: similar to AA sequence:RefSeq:NP_310191.1,,ECO111_2561,43,7,7.0,7.0,,
CDS_NC_013364.1_4988098_4988797_pos,NC_013364.1,ECO111_RS25860,WP_001152209.1,,4988098,4988797,pos,,phage minor tail protein L,,COORDINATES: similar to AA sequence:RefSeq:NP_309143.1,,ECO111_4909,43,7,7.0,7.0,,
CDS_NC_013364.1_1762253_1762952_pos,NC_013364.1,ECO111_RS09265,WP_012817879.1,,1762253,1762952,pos,,phage minor tail protein L,,COORDINATES: similar to AA sequence:RefSeq:NP_309582.1,,ECO111_1757,43,7,7.0,7.0,,
CDS_NC_013364.1_2402427_2403126_neg,NC_013364.1,ECO111_RS12560,WP_012817889.1,,2402427,2403126,neg,,phage minor tail protein L,,COORDINATES: similar to AA sequence:RefSeq:NP_310012.1,,ECO111_2400,43,7,7.0,7.0,,
CDS_NC_013364.1_1474248_1474947_pos,NC_013364.1,ECO111_RS07710,WP_001447444.1,,1474248,1474947,pos,,phage minor tail protein L,,COORDINATES: similar to AA sequence:RefSeq:NP_309582.1,,ECO111_1457,43,7,7.0,7.0,,
CDS_NC_013364.1_3798325_3799018_pos,NC_013364.1,ECO111_RS19940,WP_001190780.1,,3798325,3799018,pos,,thymidylate kinase,,COORDINATES: similar to AA sequence:RefSeq:NP_417460.1,,ECO111_3815,44,2,,,,
