,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,EC_number,old_locus_tag
CDS_NZ_CP009166.1_17370_18270_pos,NZ_CP009166.1,EC1303_RS00090,WP_001300855.1,nhaR,17370,18270,pos,,transcriptional activator NhaR,,COORDINATES: similar to AA sequence:RefSeq:NP_705976.2,,EC1303_c00180
CDS_NZ_CP009166.1_18307_19267_neg,NZ_CP009166.1,EC1303_RS00095,WP_000871671.1,,18307,19267,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000871680.1,,EC1303_c00190
CDS_NZ_CP009166.1_19279_20632_neg,NZ_CP009166.1,EC1303_RS00100,,,19279,20632,neg,True,fimbria/pilus outer membrane usher protein,,COORDINATES: similar to AA sequence:RefSeq:NP_308049.1,,EC1303_c00200
CDS_NZ_CP009166.1_20857_22278_neg,NZ_CP009166.1,EC1303_RS00105,,espX1,20857,22278,neg,True,type III secretion system effector EspX1,,COORDINATES: similar to AA sequence:RefSeq:NP_308052.1,,EC1303_c00210
CDS_NZ_CP009166.1_22760_23024_neg,NZ_CP009166.1,EC1303_RS00110,WP_001274021.1,rpsT,22760,23024,neg,,30S ribosomal protein S20,,COORDINATES: similar to AA sequence:RefSeq:WP_006117633.1,,EC1303_c00220
CDS_NZ_CP009166.1_23126_23345_pos,NZ_CP009166.1,EC1303_RS00115,WP_001300728.1,,23126,23345,pos,,DUF2575 family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_414565.1,,EC1303_c00230
CDS_NZ_CP009166.1_23352_24294_pos,NZ_CP009166.1,EC1303_RS00120,WP_000767329.1,ribF,23352,24294,pos,,bifunctional riboflavin kinase/FAD synthetase,,COORDINATES: similar to AA sequence:RefSeq:NP_308055.1,2.7.1.26,EC1303_c00240
CDS_NZ_CP009166.1_24336_27153_pos,NZ_CP009166.1,EC1303_RS00125,WP_001286865.1,ileS,24336,27153,pos,,isoleucine--tRNA ligase,,COORDINATES: similar to AA sequence:RefSeq:WP_005124083.1,6.1.1.5,EC1303_c00250
CDS_NZ_CP009166.1_27152_27647_pos,NZ_CP009166.1,EC1303_RS00130,WP_000083369.1,lspA,27152,27647,pos,,signal peptidase II,,COORDINATES: similar to AA sequence:RefSeq:NP_414568.1,3.4.23.36,EC1303_c00260
CDS_NZ_CP009166.1_27771_28221_pos,NZ_CP009166.1,EC1303_RS00135,WP_000004655.1,fkpB,27771,28221,pos,,FKBP-type peptidyl-prolyl cis-trans isomerase,,COORDINATES: similar to AA sequence:RefSeq:NP_308058.1,5.2.1.8,EC1303_c00270
CDS_NZ_CP009166.1_28222_29173_pos,NZ_CP009166.1,EC1303_RS00140,WP_001166395.1,ispH,28222,29173,pos,,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,,COORDINATES: similar to AA sequence:RefSeq:WP_005124087.1,1.17.7.4,EC1303_c00280
CDS_NZ_CP009166.1_29238_30153_pos,NZ_CP009166.1,EC1303_RS00145,WP_001239155.1,rihC,29238,30153,pos,,ribonucleoside hydrolase RihC,,COORDINATES: similar to AA sequence:RefSeq:NP_705986.1,,EC1303_c00290
CDS_NZ_CP009166.1_30319_31141_pos,NZ_CP009166.1,EC1303_RS00150,WP_000543586.1,dapB,30319,31141,pos,,4-hydroxy-tetrahydrodipicolinate reductase,,COORDINATES: similar to AA sequence:RefSeq:NP_705987.1,1.17.1.8,EC1303_c00300
CDS_NZ_CP009166.1_31596_32745_pos,NZ_CP009166.1,EC1303_RS00165,WP_001351917.1,carA,31596,32745,pos,,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,,COORDINATES: similar to AA sequence:RefSeq:NP_308062.1,6.3.5.5,EC1303_c00310
CDS_NZ_CP009166.1_32762_35984_pos,NZ_CP009166.1,EC1303_RS00170,WP_001126349.1,carB,32762,35984,pos,,carbamoyl-phosphate synthase large subunit,,COORDINATES: similar to AA sequence:RefSeq:NP_308063.1,6.3.5.5,EC1303_c00320
CDS_NZ_CP009166.1_36245_36641_pos,NZ_CP009166.1,EC1303_RS00180,WP_000333125.1,caiF,36245,36641,pos,,carnitine metabolism transcriptional regulator CaiF,,COORDINATES: similar to AA sequence:RefSeq:NP_414576.4,,EC1303_c00330
CDS_NZ_CP009166.1_36849_37440_neg,NZ_CP009166.1,EC1303_RS00185,WP_012304918.1,caiE,36849,37440,neg,,carnitine operon protein CaiE,,COORDINATES: similar to AA sequence:RefSeq:NP_308065.2,,EC1303_c00340
CDS_NZ_CP009166.1_37445_38231_neg,NZ_CP009166.1,EC1303_RS00190,WP_001295419.1,caiD,37445,38231,neg,,crotonobetainyl-CoA hydratase,,COORDINATES: similar to AA sequence:RefSeq:NP_414578.2,4.2.1.149,EC1303_c00350
CDS_NZ_CP009166.1_38339_39893_neg,NZ_CP009166.1,EC1303_RS00195,WP_001338228.1,caiC,38339,39893,neg,,crotonobetaine/carnitine-CoA ligase,,COORDINATES: similar to AA sequence:RefSeq:NP_414579.4,6.2.1.48,EC1303_c00360
CDS_NZ_CP009166.1_39966_41184_neg,NZ_CP009166.1,EC1303_RS00200,WP_041124039.1,caiB,39966,41184,neg,,L-carnitine CoA-transferase,,COORDINATES: similar to AA sequence:RefSeq:NP_308068.1,2.8.3.21,EC1303_c00370
CDS_NZ_CP009166.1_41312_42455_neg,NZ_CP009166.1,EC1303_RS00205,WP_000347117.1,caiA,41312,42455,neg,,crotonobetainyl-CoA dehydrogenase,,COORDINATES: similar to AA sequence:RefSeq:WP_005124373.1,1.3.8.13,EC1303_c00380
CDS_NZ_CP009166.1_42485_44000_neg,NZ_CP009166.1,EC1303_RS00210,WP_000787103.1,caiT,42485,44000,neg,,L-carnitine/gamma-butyrobetaine antiport BCCT transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_414582.1,,EC1303_c00390
CDS_NZ_CP009166.1_44472_45243_pos,NZ_CP009166.1,EC1303_RS00215,WP_041124040.1,,44472,45243,pos,,electron transfer flavoprotein FixA,,COORDINATES: similar to AA sequence:RefSeq:NP_414583.2,,EC1303_c00400
CDS_NZ_CP009166.1_45257_46199_pos,NZ_CP009166.1,EC1303_RS00220,WP_001091528.1,,45257,46199,pos,,electron transfer flavoprotein subunit alpha/FixB family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_414584.1,,EC1303_c00410
CDS_NZ_CP009166.1_46249_47536_pos,NZ_CP009166.1,EC1303_RS00225,WP_001287715.1,,46249,47536,pos,,FAD-dependent oxidoreductase,,COORDINATES: similar to AA sequence:RefSeq:NP_414585.1,,EC1303_c00420
CDS_NZ_CP009166.1_47532_47820_pos,NZ_CP009166.1,EC1303_RS00230,WP_021570590.1,fixX,47532,47820,pos,,ferredoxin-like protein FixX,,COORDINATES: similar to AA sequence:RefSeq:NP_308074.1,,EC1303_c00430
CDS_NZ_CP009166.1_47878_49210_pos,NZ_CP009166.1,EC1303_RS00235,WP_001183198.1,,47878,49210,pos,,MFS transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_414587.1,,EC1303_c00440
CDS_NZ_CP009166.1_49317_49848_pos,NZ_CP009166.1,EC1303_RS00240,WP_000600725.1,kefF,49317,49848,pos,,glutathione-regulated potassium-efflux system oxidoreductase KefF,,COORDINATES: similar to AA sequence:RefSeq:NP_414588.1,,EC1303_c00450
CDS_NZ_CP009166.1_49840_51703_pos,NZ_CP009166.1,EC1303_RS00245,WP_021570591.1,kefC,49840,51703,pos,,glutathione-regulated potassium-efflux system protein KefC,,COORDINATES: similar to AA sequence:RefSeq:NP_414589.1,,EC1303_c00460
CDS_NZ_CP009166.1_51894_52374_pos,NZ_CP009166.1,EC1303_RS00250,WP_000624375.1,folA,51894,52374,pos,,type 3 dihydrofolate reductase,,COORDINATES: similar to AA sequence:RefSeq:WP_020456510.1,,EC1303_c00470
CDS_NZ_CP009166.1_52451_53294_neg,NZ_CP009166.1,EC1303_RS00255,WP_000257192.1,apaH,52451,53294,neg,,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH,,COORDINATES: similar to AA sequence:RefSeq:NP_414591.1,3.6.1.41,EC1303_c00480
CDS_NZ_CP009166.1_53300_53678_neg,NZ_CP009166.1,EC1303_RS00260,WP_000610901.1,apaG,53300,53678,neg,,Co2+/Mg2+ efflux protein ApaG,,COORDINATES: similar to AA sequence:RefSeq:NP_308082.1,,EC1303_c00490
CDS_NZ_CP009166.1_53680_54502_neg,NZ_CP009166.1,EC1303_RS00265,WP_001065381.1,rsmA,53680,54502,neg,,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA,,COORDINATES: similar to AA sequence:RefSeq:NP_414593.1,2.1.1.182,EC1303_c00500
CDS_NZ_CP009166.1_54498_55488_neg,NZ_CP009166.1,EC1303_RS00270,WP_000241277.1,pdxA,54498,55488,neg,,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,,COORDINATES: similar to AA sequence:RefSeq:NP_414594.1,1.1.1.262,EC1303_c00510
CDS_NZ_CP009166.1_55487_56774_neg,NZ_CP009166.1,EC1303_RS00275,WP_000800457.1,surA,55487,56774,neg,,peptidylprolyl isomerase SurA,,COORDINATES: similar to AA sequence:RefSeq:NP_308085.1,,EC1303_c00520
CDS_NZ_CP009166.1_56826_59181_neg,NZ_CP009166.1,EC1303_RS00280,WP_000746151.1,lptD,56826,59181,neg,,LPS assembly protein LptD,,COORDINATES: similar to AA sequence:RefSeq:NP_414596.1,,EC1303_c00530
CDS_NZ_CP009166.1_59435_60251_pos,NZ_CP009166.1,EC1303_RS00285,WP_001200579.1,djlA,59435,60251,pos,,co-chaperone DjlA,,COORDINATES: similar to AA sequence:RefSeq:NP_414597.1,,EC1303_c00540
CDS_NZ_CP009166.1_60545_61212_pos,NZ_CP009166.1,EC1303_RS00290,,,60545,61212,pos,True,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:YP_009518734.1,,EC1303_c00550
CDS_NZ_CP009166.1_61208_61367_pos,NZ_CP009166.1,EC1303_RS29110,WP_001393554.1,,61208,61367,pos,,hypothetical protein,,COORDINATES: ab initio prediction:GeneMarkS-2+,,
CDS_NZ_CP009166.1_61383_61562_neg,NZ_CP009166.1,EC1303_RS28585,,,61383,61562,neg,True,IS4 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_000244358.1,,
CDS_NZ_CP009166.1_61774_62434_neg,NZ_CP009166.1,EC1303_RS00295,WP_000525176.1,rluA,61774,62434,neg,,bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA,,COORDINATES: similar to AA sequence:RefSeq:NP_414600.1,5.4.99.28,EC1303_c00560
CDS_NZ_CP009166.1_62445_65352_neg,NZ_CP009166.1,EC1303_RS00300,WP_001117011.1,rapA,62445,65352,neg,,RNA polymerase-associated protein RapA,,COORDINATES: similar to AA sequence:RefSeq:WP_001117023.1,,EC1303_c00570
CDS_NZ_CP009166.1_65516_67868_neg,NZ_CP009166.1,EC1303_RS00305,WP_000035670.1,polB,65516,67868,neg,,DNA polymerase II,,COORDINATES: similar to AA sequence:RefSeq:NP_414602.1,2.7.7.7,EC1303_c00580
CDS_NZ_CP009166.1_67942_68638_neg,NZ_CP009166.1,EC1303_RS00310,WP_000888666.1,araD,67942,68638,neg,,L-ribulose-5-phosphate 4-epimerase,,COORDINATES: similar to AA sequence:RefSeq:NP_414603.1,5.1.3.4,EC1303_c00590
CDS_NZ_CP009166.1_68922_70425_neg,NZ_CP009166.1,EC1303_RS00315,WP_000151748.1,araA,68922,70425,neg,,L-arabinose isomerase,,COORDINATES: similar to AA sequence:RefSeq:NP_414604.1,5.3.1.4,EC1303_c00600
CDS_NZ_CP009166.1_70435_72136_neg,NZ_CP009166.1,EC1303_RS00320,WP_000951856.1,araB,70435,72136,neg,,ribulokinase,,COORDINATES: similar to AA sequence:RefSeq:NP_414605.1,2.7.1.16,EC1303_c00610
CDS_NZ_CP009166.1_72474_73353_pos,NZ_CP009166.1,EC1303_RS00325,WP_001300811.1,araC,72474,73353,pos,,arabinose operon transcriptional regulator AraC,,COORDINATES: similar to AA sequence:RefSeq:NP_308095.1,,EC1303_c00620
CDS_NZ_CP009166.1_73438_74203_pos,NZ_CP009166.1,EC1303_RS00330,WP_001148390.1,,73438,74203,pos,,DedA family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_414607.1,,EC1303_c00630
CDS_NZ_CP009166.1_74316_75015_neg,NZ_CP009166.1,EC1303_RS00335,WP_000916281.1,thiQ,74316,75015,neg,,thiamine ABC transporter ATP-binding protein ThiQ,,COORDINATES: similar to AA sequence:RefSeq:NP_414608.1,,EC1303_c00640
CDS_NZ_CP009166.1_74998_76609_neg,NZ_CP009166.1,EC1303_RS00340,WP_000235721.1,thiP,74998,76609,neg,,thiamine/thiamine pyrophosphate ABC transporter permease ThiP,,COORDINATES: similar to AA sequence:RefSeq:NP_414609.1,,EC1303_c00650
CDS_NZ_CP009166.1_76584_77568_neg,NZ_CP009166.1,EC1303_RS00345,WP_001301364.1,thiB,76584,77568,neg,,thiamine ABC transporter substrate binding subunit,,COORDINATES: similar to AA sequence:RefSeq:NP_414610.1,,EC1303_c00660
CDS_NZ_CP009166.1_77731_79387_neg,NZ_CP009166.1,EC1303_RS00350,WP_001138624.1,sgrR,77731,79387,neg,,DNA-binding transcriptional regulator SgrR,,COORDINATES: similar to AA sequence:RefSeq:NP_414611.1,,EC1303_c00670
CDS_NZ_CP009166.1_79475_79607_pos,NZ_CP009166.1,EC1303_RS00355,WP_001248770.1,sgrT,79475,79607,pos,,glucose uptake inhibitor SgrT,,COORDINATES: similar to AA sequence:RefSeq:YP_002791237.1,,EC1303_c00680
CDS_NZ_CP009166.1_79708_80887_pos,NZ_CP009166.1,EC1303_RS00360,WP_000637847.1,setA,79708,80887,pos,,sugar efflux transporter SetA,,COORDINATES: similar to AA sequence:RefSeq:YP_025293.1,,EC1303_c00690
CDS_NZ_CP009166.1_80935_81541_neg,NZ_CP009166.1,EC1303_RS00365,WP_000818228.1,leuD,80935,81541,neg,,3-isopropylmalate dehydratase small subunit,,COORDINATES: similar to AA sequence:RefSeq:NP_414613.1,4.2.1.33,EC1303_c00700
CDS_NZ_CP009166.1_81551_82952_neg,NZ_CP009166.1,EC1303_RS00370,WP_001140652.1,leuC,81551,82952,neg,,3-isopropylmalate dehydratase large subunit,,COORDINATES: similar to AA sequence:RefSeq:NP_414614.1,4.2.1.33,EC1303_c00710
CDS_NZ_CP009166.1_82954_84046_neg,NZ_CP009166.1,EC1303_RS00375,WP_000042353.1,leuB,82954,84046,neg,,3-isopropylmalate dehydrogenase,,COORDINATES: similar to AA sequence:RefSeq:WP_005124544.1,1.1.1.85,EC1303_c00720
CDS_NZ_CP009166.1_84045_85617_neg,NZ_CP009166.1,EC1303_RS00380,WP_000082850.1,leuA,84045,85617,neg,,2-isopropylmalate synthase,,COORDINATES: similar to AA sequence:RefSeq:WP_016831521.1,2.3.3.13,EC1303_c00730
CDS_NZ_CP009166.1_85709_85796_neg,NZ_CP009166.1,EC1303_RS00385,WP_001300467.1,leuL,85709,85796,neg,,leu operon leader peptide,,COORDINATES: similar to AA sequence:RefSeq:NP_308106.1,,EC1303_c00740
CDS_NZ_CP009166.1_86456_87401_pos,NZ_CP009166.1,EC1303_RS00390,WP_021570594.1,leuO,86456,87401,pos,,transcriptional regulator LeuO,,COORDINATES: similar to AA sequence:RefSeq:NP_414618.4,,EC1303_c00750
CDS_NZ_CP009166.1_87555_87600_neg,NZ_CP009166.1,EC1303_RS28590,WP_120795371.1,,87555,87600,neg,,protein YabR,,COORDINATES: similar to AA sequence:RefSeq:YP_009518736.1,,
CDS_NZ_CP009166.1_87718_89443_pos,NZ_CP009166.1,EC1303_RS00395,WP_001295534.1,ilvI,87718,89443,pos,,acetolactate synthase 3 large subunit,,COORDINATES: similar to AA sequence:RefSeq:WP_020079613.1,2.2.1.6,EC1303_c00760
CDS_NZ_CP009166.1_89445_89937_pos,NZ_CP009166.1,EC1303_RS00400,WP_001300383.1,ilvN,89445,89937,pos,,acetolactate synthase small subunit,,COORDINATES: similar to AA sequence:RefSeq:WP_001563086.1,2.2.1.6,EC1303_c00770
CDS_NZ_CP009166.1_89948_90035_pos,NZ_CP009166.1,EC1303_RS00405,WP_001303787.1,,89948,90035,pos,,fruR/shl operon leader peptide,,COORDINATES: similar to AA sequence:RefSeq:NP_308110.1,,
CDS_NZ_CP009166.1_90116_91121_pos,NZ_CP009166.1,EC1303_RS00410,WP_000762401.1,cra,90116,91121,pos,,catabolite repressor/activator,,COORDINATES: similar to AA sequence:RefSeq:NP_308111.1,,EC1303_c00780
CDS_NZ_CP009166.1_91722_92181_pos,NZ_CP009166.1,EC1303_RS00415,WP_001295533.1,mraZ,91722,92181,pos,,division/cell wall cluster transcriptional repressor MraZ,,COORDINATES: similar to AA sequence:RefSeq:WP_020325403.1,,EC1303_c00790
CDS_NZ_CP009166.1_92182_93124_pos,NZ_CP009166.1,EC1303_RS00420,WP_000970479.1,rsmH,92182,93124,pos,,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,,COORDINATES: similar to AA sequence:RefSeq:WP_005124563.1,2.1.1.199,EC1303_c00800
CDS_NZ_CP009166.1_93120_93486_pos,NZ_CP009166.1,EC1303_RS00425,WP_000625658.1,ftsL,93120,93486,pos,,cell division protein FtsL,,COORDINATES: similar to AA sequence:RefSeq:WP_000625658.1,,EC1303_c00810
CDS_NZ_CP009166.1_93501_95268_pos,NZ_CP009166.1,EC1303_RS00430,WP_000642196.1,ftsI,93501,95268,pos,,peptidoglycan glycosyltransferase FtsI,,COORDINATES: similar to AA sequence:RefSeq:WP_000642204.1,3.4.16.4,EC1303_c00820
CDS_NZ_CP009166.1_95254_96742_pos,NZ_CP009166.1,EC1303_RS00435,WP_000785124.1,murE,95254,96742,pos,,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",,COORDINATES: similar to AA sequence:RefSeq:NP_414627.1,6.3.2.13,EC1303_c00830
CDS_NZ_CP009166.1_96738_98097_pos,NZ_CP009166.1,EC1303_RS00440,WP_000626685.1,murF,96738,98097,pos,,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,,COORDINATES: similar to AA sequence:RefSeq:NP_414628.1,6.3.2.10,EC1303_c00840
CDS_NZ_CP009166.1_98090_99173_pos,NZ_CP009166.1,EC1303_RS00445,WP_000964131.1,mraY,98090,99173,pos,,phospho-N-acetylmuramoyl-pentapeptide- transferase,,COORDINATES: similar to AA sequence:RefSeq:WP_005124610.1,2.7.8.13,EC1303_c00850
CDS_NZ_CP009166.1_99175_100492_pos,NZ_CP009166.1,EC1303_RS00450,WP_000796481.1,murD,99175,100492,pos,,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,,COORDINATES: similar to AA sequence:RefSeq:WP_005124612.1,6.3.2.9,EC1303_c00860
CDS_NZ_CP009166.1_100491_101736_pos,NZ_CP009166.1,EC1303_RS00455,WP_001295532.1,ftsW,100491,101736,pos,,cell division protein FtsW,,COORDINATES: similar to AA sequence:RefSeq:NP_308120.1,,EC1303_c00870
CDS_NZ_CP009166.1_101732_102800_pos,NZ_CP009166.1,EC1303_RS00460,WP_000016560.1,murG,101732,102800,pos,,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,,COORDINATES: similar to AA sequence:RefSeq:NP_414632.1,2.4.1.227,EC1303_c00880
CDS_NZ_CP009166.1_102853_104329_pos,NZ_CP009166.1,EC1303_RS00465,WP_001096049.1,murC,102853,104329,pos,,UDP-N-acetylmuramate--L-alanine ligase,,COORDINATES: similar to AA sequence:RefSeq:NP_414633.1,6.3.2.8,EC1303_c00890
CDS_NZ_CP009166.1_104321_105242_pos,NZ_CP009166.1,EC1303_RS00470,WP_000130056.1,ddlB,104321,105242,pos,,D-alanine--D-alanine ligase,,COORDINATES: similar to AA sequence:RefSeq:NP_414634.1,6.3.2.4,EC1303_c00900
CDS_NZ_CP009166.1_105243_106074_pos,NZ_CP009166.1,EC1303_RS00475,WP_032222892.1,ftsQ,105243,106074,pos,,cell division protein FtsQ,,COORDINATES: similar to AA sequence:RefSeq:NP_414635.1,,EC1303_c00910
CDS_NZ_CP009166.1_106070_107333_pos,NZ_CP009166.1,EC1303_RS00480,WP_000588474.1,ftsA,106070,107333,pos,,cell division protein FtsA,,COORDINATES: similar to AA sequence:RefSeq:NP_308125.1,,EC1303_c00920
CDS_NZ_CP009166.1_107393_108545_pos,NZ_CP009166.1,EC1303_RS00485,WP_000462776.1,ftsZ,107393,108545,pos,,cell division protein FtsZ,,COORDINATES: similar to AA sequence:RefSeq:WP_015965916.1,,EC1303_c00930
CDS_NZ_CP009166.1_108645_109563_pos,NZ_CP009166.1,EC1303_RS00490,WP_000595482.1,lpxC,108645,109563,pos,,UDP-3-O-acyl-N-acetylglucosamine deacetylase,,COORDINATES: similar to AA sequence:RefSeq:NP_308127.1,3.5.1.108,EC1303_c00940
CDS_NZ_CP009166.1_109793_110306_pos,NZ_CP009166.1,EC1303_RS00495,WP_000014321.1,secM,109793,110306,pos,,secA regulator SecM,,COORDINATES: similar to AA sequence:RefSeq:NP_414639.2,,EC1303_c00950
CDS_NZ_CP009166.1_110367_113073_pos,NZ_CP009166.1,EC1303_RS00500,WP_000905789.1,secA,110367,113073,pos,,preprotein translocase subunit SecA,,COORDINATES: similar to AA sequence:RefSeq:NP_414640.1,,EC1303_c00960
CDS_NZ_CP009166.1_113132_113522_pos,NZ_CP009166.1,EC1303_RS00505,WP_000736007.1,mutT,113132,113522,pos,,8-oxo-dGTP diphosphatase MutT,,COORDINATES: similar to AA sequence:RefSeq:NP_414641.1,3.6.1.55,EC1303_c00970
CDS_NZ_CP009166.1_113737_113935_neg,NZ_CP009166.1,EC1303_RS00515,WP_000005042.1,yacG,113737,113935,neg,,DNA gyrase inhibitor YacG,,COORDINATES: similar to AA sequence:RefSeq:NP_308132.1,,EC1303_c00980
CDS_NZ_CP009166.1_113944_114688_neg,NZ_CP009166.1,EC1303_RS00520,WP_001194734.1,zapD,113944,114688,neg,,cell division protein ZapD,,COORDINATES: similar to AA sequence:RefSeq:NP_414644.1,,EC1303_c00990
CDS_NZ_CP009166.1_114687_115308_neg,NZ_CP009166.1,EC1303_RS00525,WP_001269520.1,coaE,114687,115308,neg,,dephospho-CoA kinase,,COORDINATES: similar to AA sequence:RefSeq:NP_308134.1,2.7.1.24,EC1303_c01000
CDS_NZ_CP009166.1_115332_115377_pos,NZ_CP009166.1,EC1303_RS29380,WP_120795372.1,,115332,115377,pos,,protein YacM,,COORDINATES: similar to AA sequence:RefSeq:YP_009518737.1,,
CDS_NZ_CP009166.1_115532_116576_pos,NZ_CP009166.1,EC1303_RS00530,WP_001217338.1,guaC,115532,116576,pos,,GMP reductase,,COORDINATES: similar to AA sequence:RefSeq:WP_008461816.1,1.7.1.7,EC1303_c01010
CDS_NZ_CP009166.1_116610_117813_neg,NZ_CP009166.1,EC1303_RS00535,WP_000157266.1,hofC,116610,117813,neg,,protein transport protein HofC,,COORDINATES: similar to AA sequence:RefSeq:NP_414648.1,,EC1303_c01020
CDS_NZ_CP009166.1_117802_119188_neg,NZ_CP009166.1,EC1303_RS00540,WP_021570596.1,gspE,117802,119188,neg,,type II secretion system protein GspE,,COORDINATES: similar to AA sequence:RefSeq:NP_414649.1,,EC1303_c01030
CDS_NZ_CP009166.1_119197_119638_neg,NZ_CP009166.1,EC1303_RS00545,WP_000360904.1,ppdD,119197,119638,neg,,prepilin peptidase-dependent pilin,,COORDINATES: similar to AA sequence:RefSeq:NP_414650.1,,EC1303_c01040
