,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,EC_number,old_locus_tag,dup_id,count_dups,dup_id_pseudo_free,count_dups_pseudo_free,dup_id_mobile_free,count_dups_mobile_free
CDS_NC_018666.1_44824_45571_neg,NC_018666.1,O3K_RS26420,WP_000205736.1,traX,44824,45571,neg,,conjugal transfer pilus acetylase TraX,,COORDINATES: similar to AA sequence:RefSeq:NP_052669.1,,O3K_26382,12,4,,,,
CDS_NC_018666.1_50317_51003_pos,NC_018666.1,O3K_RS26435,,,50317,51003,pos,True,IS1 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612230.1,,,12,4,,,,
CDS_NC_018666.1_45590_50256_neg,NC_018666.1,O3K_RS26430,,traI,45590,50256,neg,True,conjugative transfer relaxase/helicase TraI,,COORDINATES: similar to AA sequence:RefSeq:WP_001463032.1,,O3K_26392,12,4,,,,
CDS_NC_018666.1_51008_51467_neg,NC_018666.1,O3K_RS26440,,,51008,51467,neg,True,PAS domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001403354.1,,,12,4,,,,
CDS_NC_018658.1_1298389_1299670_pos,NC_018658.1,O3K_RS26675,,,1298389,1299670,pos,True,XRE family transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:WP_001482862.1,,,13,2,,,,
CDS_NC_018658.1_1293887_1297739_neg,NC_018658.1,O3K_RS06305,WP_000963924.1,,1293887,1297739,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001555928.1,,O3K_06320,13,2,,,,
CDS_NC_018658.1_5250283_5251120_pos,NC_018658.1,O3K_RS25500,,bglG,5250283,5251120,pos,True,transcriptional antiterminator BglG,,COORDINATES: similar to AA sequence:RefSeq:NP_418179.1,,,14,2,,,,
CDS_NC_018658.1_5249272_5249998_pos,NC_018658.1,O3K_RS25495,WP_000377786.1,phoU,5249272,5249998,pos,,phosphate signaling complex protein PhoU,,COORDINATES: similar to AA sequence:RefSeq:NP_418180.1,,O3K_25220,14,2,,,,
CDS_NC_018658.1_77428_78133_pos,NC_018658.1,O3K_RS00420,WP_001067855.1,,77428,78133,pos,,IS6-like element IS26 family transposase,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,,O3K_00455,15,3,4.0,3.0,,
CDS_NC_018658.1_82623_83328_neg,NC_018658.1,O3K_RS00455,WP_001067855.1,,82623,83328,neg,,IS6-like element IS26 family transposase,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,,O3K_00485,15,3,4.0,3.0,,
CDS_NC_018658.1_83452_84157_pos,NC_018658.1,O3K_RS00460,WP_001067855.1,,83452,84157,pos,,IS6-like element IS26 family transposase,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,,O3K_00490,15,3,4.0,3.0,,
CDS_NC_018658.1_2188237_2188981_pos,NC_018658.1,O3K_RS10605,WP_000140762.1,,2188237,2188981,pos,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309673.1,,O3K_10555,16,3,5.0,3.0,,
CDS_NC_018658.1_3590421_3591165_neg,NC_018658.1,O3K_RS17630,WP_000140717.1,,3590421,3591165,neg,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309673.1,,O3K_17535,16,3,5.0,3.0,,
CDS_NC_018658.1_2902693_2903437_neg,NC_018658.1,O3K_RS14165,WP_000140761.1,,2902693,2903437,neg,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001396591.1,,O3K_14100,16,3,5.0,3.0,,
CDS_NC_018658.1_2187534_2188233_pos,NC_018658.1,O3K_RS10600,WP_001152522.1,,2187534,2188233,pos,,phage minor tail protein L,,COORDINATES: similar to AA sequence:RefSeq:NP_309672.1,,O3K_10550,17,3,6.0,3.0,,
CDS_NC_018658.1_3591170_3591869_neg,NC_018658.1,O3K_RS17635,WP_001152576.1,,3591170,3591869,neg,,phage minor tail protein L,,COORDINATES: similar to AA sequence:RefSeq:NP_309672.1,,O3K_17540,17,3,6.0,3.0,,
CDS_NC_018658.1_2903441_2904140_neg,NC_018658.1,O3K_RS14170,WP_001152522.1,,2903441,2904140,neg,,phage minor tail protein L,,COORDINATES: similar to AA sequence:RefSeq:NP_309672.1,,O3K_14105,17,3,6.0,3.0,,
CDS_NC_018658.1_2527518_2528199_neg,NC_018658.1,O3K_RS12355,WP_000186868.1,,2527518,2528199,neg,,YqaJ viral recombinase family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_308836.1,,O3K_12315,18,3,7.0,3.0,3.0,3.0
CDS_NC_018658.1_3306581_3307271_pos,NC_018658.1,O3K_RS16325,WP_000187063.1,,3306581,3307271,pos,,YqaJ viral recombinase family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000187064.1,,O3K_16235,18,3,7.0,3.0,3.0,3.0
CDS_NC_018658.1_3620170_3620851_pos,NC_018658.1,O3K_RS17855,WP_000186833.1,,3620170,3620851,pos,,YqaJ viral recombinase family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_308836.1,,O3K_17760,18,3,7.0,3.0,3.0,3.0
CDS_NC_018658.1_1981539_1982223_neg,NC_018658.1,O3K_RS09500,WP_000775500.1,,1981539,1982223,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310826.1,,O3K_09445,19,2,8.0,2.0,4.0,2.0
CDS_NC_018658.1_3146034_3146718_neg,NC_018658.1,O3K_RS15525,WP_000775510.1,,3146034,3146718,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310826.1,,O3K_15450,19,2,8.0,2.0,4.0,2.0
CDS_NC_018658.1_76113_77364_pos,NC_018658.1,O3K_RS00415,,,76113,77364,pos,True,transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_013124600.1,,O3K_00450,20,2,,,,
CDS_NC_018658.1_75370_76039_pos,NC_018658.1,O3K_RS00410,WP_001300294.1,,75370,76039,pos,,EAL domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:YP_005229646.1,,O3K_00445,20,2,,,,
CDS_NC_018658.1_2584583_2585219_neg,NC_018658.1,O3K_RS12720,WP_000184488.1,,2584583,2585219,neg,,phage antirepressor Ant,,COORDINATES: similar to AA sequence:RefSeq:WP_000184488.1,,O3K_12670,21,2,,,,
CDS_NC_018658.1_2585635_2585740_neg,NC_018658.1,O3K_RS12725,,,2585635,2585740,neg,True,4Fe-4S binding protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000213046.1,,O3K_12675,21,2,,,,
CDS_NC_018658.1_4685531_4686170_neg,NC_018658.1,O3K_RS22900,WP_000101644.1,,4685531,4686170,neg,,DUF1190 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_313188.1,,O3K_22715,22,2,,,,
CDS_NC_018658.1_4686179_4686578_neg,NC_018658.1,O3K_RS22905,,,4686179,4686578,neg,True,DUF350 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_313187.1,,,22,2,,,,
CDS_NC_018658.1_2940022_2940661_neg,NC_018658.1,O3K_RS14430,WP_000737224.1,ompW,2940022,2940661,neg,,outer membrane protein OmpW,,COORDINATES: similar to AA sequence:RefSeq:NP_309783.1,,O3K_14365,23,2,,,,
CDS_NC_018658.1_2940900_2940990_pos,NC_018658.1,O3K_RS14435,,,2940900,2940990,pos,True,YkgJ family cysteine cluster protein,,COORDINATES: similar to AA sequence:RefSeq:NP_460692.1,,,23,2,,,,
CDS_NC_018658.1_940170_940874_pos,NC_018658.1,O3K_RS04555,,,940170,940874,pos,True,DUF2931 family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001253652.1,,O3K_04590,24,2,,,,
CDS_NC_018658.1_937020_939870_neg,NC_018658.1,O3K_RS04550,WP_000286652.1,,937020,939870,neg,,DEAD/DEAH box helicase,,COORDINATES: similar to AA sequence:RefSeq:WP_000286651.1,,O3K_04580,24,2,,,,
CDS_NC_018658.1_4667498_4668137_pos,NC_018658.1,O3K_RS22775,WP_001119478.1,ytfB,4667498,4668137,pos,,cell division protein YtfB,,COORDINATES: similar to AA sequence:RefSeq:NP_418627.4,,O3K_22600,25,2,,,,
CDS_NC_018658.1_4668120_4668228_neg,NC_018658.1,O3K_RS22780,,,4668120,4668228,neg,True,TetR/AcrR family transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:NP_709992.3,,,25,2,,,,
CDS_NC_018658.1_3816032_3816653_pos,NC_018658.1,O3K_RS18830,WP_001298903.1,entD,3816032,3816653,pos,,enterobactin synthase subunit EntD,,COORDINATES: similar to AA sequence:RefSeq:NP_415115.2,6.3.2.14,O3K_18680,26,2,,,,
CDS_NC_018658.1_3816818_3817930_pos,NC_018658.1,O3K_RS18835,,,3816818,3817930,pos,True,IS4-like element IS421 family transposase,,COORDINATES: similar to AA sequence:RefSeq:NP_414557.1,,O3K_18685,26,2,,,,
CDS_NC_018658.1_1451897_1452548_neg,NC_018658.1,O3K_RS07010,WP_000147987.1,hyfE,1451897,1452548,neg,,hydrogenase 4 membrane subunit,,COORDINATES: similar to AA sequence:RefSeq:NP_311374.1,,O3K_06995,27,3,,,,
CDS_NC_018658.1_1452559_1453998_neg,NC_018658.1,O3K_RS07015,,hyfD,1452559,1453998,neg,True,hydrogenase 4 subunit HyfD,,COORDINATES: similar to AA sequence:RefSeq:NP_416979.1,,O3K_07000,27,3,,,,
CDS_NC_018658.1_1454014_1454962_neg,NC_018658.1,O3K_RS07020,,hyfC,1454014,1454962,neg,True,hydrogenase 4 subunit HyfC,,COORDINATES: similar to AA sequence:RefSeq:NP_416978.4,,O3K_07015,27,3,,,,
CDS_NC_018658.1_1765835_1766483_neg,NC_018658.1,O3K_RS08515,WP_001113637.1,narP,1765835,1766483,neg,,nitrate/nitrite response regulator protein NarP,,COORDINATES: similar to AA sequence:RefSeq:NP_311109.1,,O3K_08485,28,2,,,,
CDS_NC_018658.1_1766802_1769394_pos,NC_018658.1,O3K_RS08520,,yejO,1766802,1769394,pos,True,autotransporter YejO,,COORDINATES: similar to AA sequence:RefSeq:NP_311108.2,,O3K_08490,28,2,,,,
CDS_NC_018658.1_2570730_2571387_pos,NC_018658.1,O3K_RS12665,WP_000509022.1,,2570730,2571387,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309265.1,,O3K_12615,29,2,9.0,2.0,5.0,2.0
CDS_NC_018658.1_3267073_3267730_neg,NC_018658.1,O3K_RS16065,WP_000509489.1,,3267073,3267730,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309265.1,,O3K_15990,29,2,9.0,2.0,5.0,2.0
CDS_NC_018658.1_3589852_3590485_neg,NC_018658.1,O3K_RS17625,WP_000090917.1,,3589852,3590485,neg,,tail assembly protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000090899.1,,O3K_17530,30,2,10.0,2.0,,
CDS_NC_018658.1_2188917_2189550_pos,NC_018658.1,O3K_RS10610,WP_000090891.1,,2188917,2189550,pos,,tail assembly protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000090899.1,,O3K_10560,30,2,10.0,2.0,,
CDS_NC_018658.1_2568371_2568989_pos,NC_018658.1,O3K_RS12645,WP_001390575.1,,2568371,2568989,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309262.1,,O3K_12595,31,2,11.0,2.0,6.0,2.0
CDS_NC_018658.1_3269479_3270097_neg,NC_018658.1,O3K_RS16085,WP_001301884.1,,3269479,3270097,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309262.1,,O3K_16010,31,2,11.0,2.0,6.0,2.0
CDS_NC_018658.1_3585624_3586224_neg,NC_018658.1,O3K_RS17615,WP_001233090.1,,3585624,3586224,neg,,Ail/Lom family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309676.1,,O3K_17520,32,3,12.0,3.0,7.0,3.0
CDS_NC_018658.1_2897529_2898129_neg,NC_018658.1,O3K_RS14145,WP_001228314.1,,2897529,2898129,neg,,Ail/Lom family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309834.1,,O3K_14085,32,3,12.0,3.0,7.0,3.0
CDS_NC_018658.1_2193073_2193673_pos,NC_018658.1,O3K_RS10620,WP_001228314.1,,2193073,2193673,pos,,Ail/Lom family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309834.1,,O3K_10570,32,3,12.0,3.0,7.0,3.0
CDS_NC_018658.1_315707_316388_neg,NC_018658.1,O3K_RS01470,WP_000697968.1,silR,315707,316388,neg,,copper/silver response regulator transcription factor SilR,,COORDINATES: similar to AA sequence:RefSeq:WP_001572351.1,,O3K_01515,33,2,13.0,2.0,8.0,2.0
CDS_NC_018658.1_3832370_3833054_pos,NC_018658.1,O3K_RS18905,WP_000770953.1,cusR,3832370,3833054,pos,,copper response regulator transcription factor CusR,,COORDINATES: similar to AA sequence:RefSeq:NP_308636.1,,O3K_18760,33,2,13.0,2.0,8.0,2.0
CDS_NC_018658.1_3190437_3191061_neg,NC_018658.1,O3K_RS15735,WP_001260393.1,,3190437,3191061,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309404.1,,O3K_15680,34,2,14.0,2.0,9.0,2.0
CDS_NC_018658.1_876094_876718_pos,NC_018658.1,O3K_RS04260,WP_001260266.1,,876094,876718,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309404.1,,O3K_04270,34,2,14.0,2.0,9.0,2.0
CDS_NC_018658.1_2955360_2958036_pos,NC_018658.1,O3K_RS14515,WP_000301651.1,adhE,2955360,2958036,pos,,bifunctional acetaldehyde-CoA/alcohol dehydrogenase,,COORDINATES: similar to AA sequence:RefSeq:NP_309768.1,1.1.1.1,O3K_14440,35,2,,,,
CDS_NC_018658.1_2958159_2959060_pos,NC_018658.1,O3K_RS14520,,,2958159,2959060,pos,True,IS4 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_012904641.1,,,35,2,,,,
CDS_NC_018658.1_1993886_1994489_neg,NC_018658.1,O3K_RS09555,WP_000813432.1,,1993886,1994489,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000813428.1,,O3K_09505,36,3,15.0,3.0,10.0,3.0
CDS_NC_018658.1_4538520_4539123_neg,NC_018658.1,O3K_RS22145,WP_000813456.1,,4538520,4539123,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001546339.1,,O3K_21945,36,3,15.0,3.0,10.0,3.0
CDS_NC_018658.1_60770_61373_neg,NC_018658.1,O3K_RS00305,WP_001387788.1,,60770,61373,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001546339.1,,O3K_00335,36,3,15.0,3.0,10.0,3.0
CDS_NC_018658.1_4105097_4105691_pos,NC_018658.1,O3K_RS20120,WP_001306921.1,rclC,4105097,4105691,pos,,reactive chlorine species resistance protein RclC,,COORDINATES: similar to AA sequence:RefSeq:NP_414835.2,,O3K_19985,37,2,,,,
CDS_NC_018658.1_4105849_4105978_neg,NC_018658.1,O3K_RS20125,,,4105849,4105978,neg,True,aldo/keto reductase,,COORDINATES: similar to AA sequence:RefSeq:NP_308365.3,,,37,2,,,,
CDS_NC_018658.1_3276307_3276958_neg,NC_018658.1,O3K_RS16115,WP_000207927.1,,3276307,3276958,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309254.1,,O3K_16040,38,2,16.0,2.0,11.0,2.0
CDS_NC_018658.1_2561419_2562070_pos,NC_018658.1,O3K_RS12610,WP_000207910.1,,2561419,2562070,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309254.1,,O3K_12565,38,2,16.0,2.0,11.0,2.0
CDS_NC_018658.1_4748354_4749818_neg,NC_018658.1,O3K_RS23205,,,4748354,4749818,neg,True,IS66-like element ISEc43 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_000080172.1,,O3K_23015,39,5,,,,
CDS_NC_018658.1_4750883_4751834_pos,NC_018658.1,O3K_RS23220,,,4750883,4751834,pos,True,IS66 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_012904571.1,,,39,5,,,,
CDS_NC_018658.1_4747581_4748163_pos,NC_018658.1,O3K_RS23200,WP_000291751.1,,4747581,4748163,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000291745.1,,O3K_23010,39,5,,,,
CDS_NC_018658.1_4749856_4750257_neg,NC_018658.1,O3K_RS23210,,,4749856,4750257,neg,True,transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_000998048.1,,O3K_23020,39,5,,,,
CDS_NC_018658.1_4750260_4750833_pos,NC_018658.1,O3K_RS23215,,,4750260,4750833,pos,True,transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_001368704.1,,O3K_23025,39,5,,,,
CDS_NC_018658.1_3691062_3691632_neg,NC_018658.1,O3K_RS18250,WP_000832340.1,,3691062,3691632,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_415232.1,,O3K_18130,40,2,,,,
CDS_NC_018658.1_3691628_3693134_neg,NC_018658.1,O3K_RS18255,,,3691628,3693134,neg,True,RHS repeat protein,,COORDINATES: similar to AA sequence:RefSeq:NP_308756.1,,O3K_18135,40,2,,,,
CDS_NC_018658.1_911587_912154_pos,NC_018658.1,O3K_RS26650,WP_000587872.1,,911587,912154,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001611667.1,,O3K_04460,41,2,,,,
CDS_NC_018658.1_912218_912499_pos,NC_018658.1,O3K_RS04435,,,912218,912499,pos,True,transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612086.1,,,41,2,,,,
CDS_NC_018658.1_284323_284890_neg,NC_018658.1,O3K_RS01335,WP_001057453.1,slp,284323,284890,neg,,outer membrane lipoprotein Slp,,COORDINATES: similar to AA sequence:RefSeq:NP_312404.2,,O3K_01380,42,2,,,,
CDS_NC_018658.1_285512_286359_neg,NC_018658.1,O3K_RS01340,,,285512,286359,neg,True,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001406139.1,,O3K_01385,42,2,,,,
CDS_NC_018666.1_23796_23922_neg,NC_018666.1,O3K_RS26795,,,23796,23922,neg,True,3'-5' exonuclease,,COORDINATES: similar to AA sequence:RefSeq:WP_001057990.1,,,43,2,,,,
CDS_NC_018666.1_23225_23792_neg,NC_018666.1,O3K_RS26255,WP_032159540.1,,23225,23792,neg,,recombinase family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_012814633.1,,O3K_26222,43,2,,,,
CDS_NC_018658.1_2174024_2174573_pos,NC_018658.1,O3K_RS10520,WP_000867568.1,,2174024,2174573,pos,,terminase small subunit,,COORDINATES: similar to AA sequence:RefSeq:WP_000867575.1,,O3K_10470,44,2,17.0,2.0,,
CDS_NC_018658.1_2917054_2917603_neg,NC_018658.1,O3K_RS14250,WP_000867569.1,,2917054,2917603,neg,,terminase small subunit,,COORDINATES: similar to AA sequence:RefSeq:WP_000867575.1,,O3K_14185,44,2,17.0,2.0,,
CDS_NC_018658.1_909356_909830_pos,NC_018658.1,O3K_RS04425,,,909356,909830,pos,True,DDE-type integrase/transposase/recombinase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612086.1,,O3K_04455,45,4,,,,
CDS_NC_018658.1_906349_907087_pos,NC_018658.1,O3K_RS04415,,,906349,907087,pos,True,IS3 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612086.1,,,45,4,,,,
CDS_NC_018658.1_907759_909267_pos,NC_018658.1,O3K_RS04420,,ltrA,907759,909267,pos,True,group II intron reverse transcriptase/maturase,,COORDINATES: similar to AA sequence:RefSeq:NP_708749.1,,,45,4,,,,
CDS_NC_018658.1_903603_906153_pos,NC_018658.1,O3K_RS04410,WP_000029846.1,tssH,903603,906153,pos,,type VI secretion system ATPase TssH,,COORDINATES: similar to AA sequence:RefSeq:WP_000029850.1,,O3K_04435,45,4,,,,
CDS_NC_018658.1_2909054_2909630_neg,NC_018658.1,O3K_RS14205,WP_000974999.1,,2909054,2909630,neg,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310198.1,,O3K_14140,46,2,18.0,2.0,,
CDS_NC_018658.1_2182012_2182588_pos,NC_018658.1,O3K_RS10565,WP_000975010.1,,2182012,2182588,pos,,phage tail protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310198.1,,O3K_10515,46,2,18.0,2.0,,
CDS_NC_018658.1_3132152_3132463_neg,NC_018658.1,O3K_RS15405,,,3132152,3132463,neg,True,type 1 fimbrial protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309449.1,,,47,2,,,,
CDS_NC_018658.1_3131524_3132058_neg,NC_018658.1,O3K_RS15400,WP_000857399.1,ymdB,3131524,3132058,neg,,O-acetyl-ADP-ribose deacetylase,,COORDINATES: similar to AA sequence:RefSeq:NP_309450.1,3.1.1.-,O3K_15330,47,2,,,,
CDS_NC_018658.1_1996315_1996885_pos,NC_018658.1,O3K_RS09565,WP_000221535.1,,1996315,1996885,pos,,inovirus Gp2 family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000221568.1,,O3K_09525,48,4,19.0,4.0,12.0,4.0
